id,name,sku,category,quantity,unit_cost,supplier_name,location,reorder_threshold,supplier_lead_time_days
c1772754630521,BME690,0769894026847,sensors,2,20.0,Pimoroni,Left Desk LAB,5,7
c1772753572559,Mycobrain V1,Mycobrain-1,dev-boards,6,41.0,Chris,Morgan,10,7
B0CH88LFS4,GNSS Antenna,GPS External Antenna (D),antennas,3,23.43,waveshare,,0,7
c1772757965488,BME688,c1772757965488,misc,2,0.0,Amazon,,5,7
c1772757984324,BME680,c1772757984324,misc,2,0.0,Amazon,,5,7
c1772767020653,ESP32-S3,c1772767020653,dev-boards,10,0.0,Amazon,TBD Board Bin,5,7
c1772756414292,Solar Controller,c1772756414292,power,1,0.0,Amazon,,5,7
B0DGG7GJL7,Antenna,WN570HA2,antennas,1,78.0,Ruichuang Technology,,0,7
B07GNC8DHH,4G LTE Antenna,GP-KIT-4G-01,antennas,3,7.99,Superbat-us,,0,7
B09PH867P6,MyCobot 280 Camera Flange,myCobot_accessories,cameras,2,59.99,Elephant Robotics,,0,7
B098QH631G,SMA to IPX Cable,178IPX2-30cm,cameras,3,7.29,TUOLNK Tech US,,0,7
c1772756532326,Medium Grey Box,c1772756532326,chassis-housing,3,0.0,Amazon,Chassis rack,5,7
c1772756572006,Small Grey Box,c1772756572006,chassis-housing,4,0.0,Amazon,Chassis rack,5,7
c1772756491478,White Box Chassis,c1772756491478,chassis-housing,3,0.0,Amazon,Chassis rack,5,7
B0B9W96SD6,myCobot 280 Robotic Arm,ER-280-PI,dev-boards,1,918.0,Elephant Robotics,,0,7
c1772765873359,Jetson Orin Nano 8GB,900-13767-0030-000,dev-boards,2,0.0,Amazon,QA Table / Morgan,3,7
B0FQ5XWXMG,Jetson Orin NX,Jetson Orin NX,dev-boards,1,1115.0,Yahboom,,0,7
B09PH8YCVM,Suction Pump MyCobot,myCobot_PI,misc,2,75.0,Elephant Robotics,,0,7
c1772756665580,Mushroom 1 Big Body,M1B,misc,3,0.0,Amazon,Body rack,5,7
B0DLKLY669,Mini Speaker 8 Ohm,676-EL,dev-boards,1,8.39,eMagTech,,0,7
B083XMGSVP,Pi Zero Camera 5MP,WQY,dev-boards,1,16.99,Dorhea,,0,7
B0F9NXB9DB,ABS Filament 1.75mm Black,CR-ABS-Black,misc,1,19.99,Creality YOOPAI Store,,0,7
B0F9NZDP3P,ABS Filament 1.75mm White,CR-ABS-White,misc,1,18.99,Creality YOOPAI Store,,0,7
B0CTZF7MNP,USB Outlet 15 Amp,AUR01-1542CCA-BL10,misc,1,119.89,ELE GROUP,,0,7
B0CTZQYNKY,USB Outlet 15 Amp,AUR01-1542CCA-WH10,misc,1,119.66,ELE GROUP,,0,7
B0BPRZ82GD,Garden Tool Wall Rack,ST-1,misc,2,17.24,RUICAIAMZ,,0,7
B0949JNZWQ,M4 x 20mm Flat Head Screws,763722102277,misc,1,7.21,YGTGZ,,0,7
B0DXT4WTR4,Small Junction Box,Electrical Boxes-FT,misc,2,18.61,IGEYAPA-US,,0,7
B07H5C8BB6,Junction Box,110807PT,chassis-housing,1,9.49,QILIPSU,,0,7
B0CXJ71NB6,ESP32-S3 Board,L76K Version,dev-boards,3,61.0,Lily GO,,0,7
B0DXT464VB,Large Junction Box,"Electrical Boxes-13.8""x9.8""x5.9"" Clear",misc,2,46.54,IGEYAPA-US,,0,7
B0CY2BPPD4,Outdoor Electrical Box,Fan001,misc,3,139.99,zhuhaiyihong,,0,7
B09TXL8NQ5,Jetson Nano,JETSON-NANO-DEV-KIT,dev-boards,1,189.99,waveshare,,0,7
B0BTP93H8H,SIM7600G-H,SIM7600G-H 4G Module,dev-boards,3,69.34,waveshare,,0,7
B0DDQDG6GF,Anker TB4 Cable 3.3ft,ELECTRONIC_CABLE,misc,1,39.98,AnkerDirect,,0,7
B0CDH4FGZY,Anker TB4 Cable,A8489011,misc,1,79.98,AnkerDirect,,0,7
B0C3PFQZ4G,HDMI Splitter Extended Display,USB-C2HDMI2,misc,1,49.99,OREI Direct,,0,7
B0FCMSRJ2J,Thunderbolt 5 Cable 6.6ft,Z-W0407,misc,1,33.59,ZIKNYDO,,0,7
B0CF5KH6ZM,KOOTION 256GB Micro SD Card,TF-256G,cameras,5,22.32,KOOTION,,0,7
B08JPL85H8,Cat8 RJ45 Connector,52517.24,chassis-housing,1,107.9,KW-Commerce-US,,0,7
B08XFSLWQF,DisplayPort to HDMI Adapter,102101-GRY,misc,1,24.95,Cable Matters,,0,7
B0CH3TDJ4B,Cat8 Ethernet Crimping Tool,180124,misc,1,21.95,Cable Matters,,0,7
